,Average,Date
62,70.65790925925924,2015-04-01
63,70.5307611111111,2015-04-02
64,71.84096666666667,2015-04-06
65,72.42457407407407,2015-04-07
66,72.22761296296297,2015-04-08
67,72.56149444444445,2015-04-09
68,73.13838888888888,2015-04-10
69,72.96122222222222,2015-04-13
70,73.42592222222223,2015-04-14
71,74.97550925925927,2015-04-15
72,75.52923148148149,2015-04-16
73,74.77268703703704,2015-04-17
74,75.35120555555555,2015-04-20
75,74.45649444444444,2015-04-21
76,74.25201666666666,2015-04-22
77,75.16309444444444,2015-04-23
78,74.5667037037037,2015-04-24
79,74.68060185185185,2015-04-27
80,74.3968462962963,2015-04-28
81,75.06342777777779,2015-04-29
82,75.36460925925927,2015-04-30
83,75.08192407407408,2015-05-01
84,74.98918888888889,2015-05-04
85,74.97174074074074,2015-05-05
86,73.79083888888889,2015-05-06
87,72.41194444444443,2015-05-07
88,72.66329074074073,2015-05-08
89,72.31595185185185,2015-05-11
90,71.81316851851852,2015-05-12
91,72.10594444444445,2015-05-13
92,71.73231296296298,2015-05-14
93,71.34889074074074,2015-05-15
94,71.68457037037037,2015-05-18
95,71.1055814814815,2015-05-19
96,70.88722222222222,2015-05-20
97,71.8790425925926,2015-05-21
98,71.80746481481481,2015-05-22
99,70.92051111111111,2015-05-26
100,70.59424074074074,2015-05-27
101,69.96572777777777,2015-05-28
102,70.25777962962964,2015-05-29
103,70.05762962962963,2015-06-01
104,70.44177592592592,2015-06-02
105,70.42731296296296,2015-06-03
106,69.3671962962963,2015-06-04
107,69.62980555555555,2015-06-05
108,69.49929074074075,2015-06-08
109,69.9847240740741,2015-06-09
110,70.39120555555554,2015-06-10
111,70.5588537037037,2015-06-11
112,69.66622222222223,2015-06-12
113,69.3426962962963,2015-06-15
114,69.7191074074074,2015-06-16
115,70.20095555555555,2015-06-17
116,69.90349444444445,2015-06-18
117,69.23605185185185,2015-06-19
118,69.52131666666666,2015-06-22
119,69.81482407407408,2015-06-23
120,69.8043462962963,2015-06-24
121,69.16062777777778,2015-06-25
122,68.53242592592593,2015-06-26
123,67.78459444444445,2015-06-29
124,67.8249537037037,2015-06-30
125,67.42772222222222,2015-07-01
126,67.21796296296296,2015-07-02
127,66.06776481481482,2015-07-06
128,65.57672777777778,2015-07-07
129,65.60703703703703,2015-07-08
