,Average,Date
355,54.9391463,12/13/2015
356,54.04972037,12/14/2015
357,55.45044444,12/15/2015
358,55.19353704,12/16/2015
359,53.82016667,12/17/2015
360,52.63281111,12/18/2015
361,52.63281111,12/19/2015
362,52.63281111,12/20/2015
363,51.49144815,12/21/2015
364,52.01867963,12/22/2015
365,53.8897963,12/23/2015
366,54.60612963,12/24/2015
367,54.60612963,12/25/2015
368,54.60612963,12/26/2015
369,54.60612963,12/27/2015
370,53.28658889,12/28/2015
371,53.89248519,12/29/2015
372,53.24921667,12/30/2015
373,53.14707407,12/31/2015
374,53.14707407,1/1/2016
375,53.14707407,1/2/2016
376,53.14707407,1/3/2016
377,53.10028519,1/4/2016
378,53.04901296,1/5/2016
379,51.0094463,1/6/2016
380,49.82869815,1/7/2016
381,49.2548463,1/8/2016
382,49.2548463,1/9/2016
383,49.2548463,1/10/2016
384,48.22324074,1/11/2016
385,47.49306481,1/12/2016
386,47.29842593,1/13/2016
387,47.37954074,1/14/2016
388,46.46964815,1/15/2016
389,46.46964815,1/16/2016
390,46.46964815,1/17/2016
391,46.46964815,1/18/2016
392,46.4060537,1/19/2016
393,44.22678519,1/20/2016
394,45.79989815,1/21/2016
395,48.5029537,1/22/2016
396,48.5029537,1/23/2016
397,48.5029537,1/24/2016
398,47.49028889,1/25/2016
399,47.25337778,1/26/2016
400,48.41368519,1/27/2016
401,49.75870741,1/28/2016
402,50.6862037,1/29/2016
403,50.6862037,1/30/2016
404,50.6862037,1/31/2016
405,50.37907222,2/1/2016
406,49.1612963,2/2/2016
407,49.3155963,2/3/2016
408,50.87295926,2/4/2016
409,48.85033519,2/5/2016
410,48.85033519,2/6/2016
411,48.85033519,2/7/2016
412,47.33516852,2/8/2016
413,46.78148333,2/9/2016
414,46.66434259,2/10/2016
415,45.56422222,2/11/2016
416,47.11118519,2/12/2016
417,47.11118519,2/13/2016
418,47.11118519,2/14/2016
419,47.11118519,2/15/2016
420,47.91888519,2/16/2016
421,49.36206296,2/17/2016
422,49.59776852,2/18/2016
423,48.48545185,2/19/2016
424,48.48545185,2/20/2016
425,48.48545185,2/21/2016
426,50.24647963,2/22/2016
427,49.38376852,2/23/2016
428,48.13167037,2/24/2016
429,48.48961111,2/25/2016
430,49.76497407,2/26/2016
431,49.76497407,2/27/2016
432,49.76497407,2/28/2016
433,49.30224074,2/29/2016
,,
,,
436,49.40895556,3/1/2016
437,50.74275926,3/2/2016
438,52.24629444,3/3/2016
439,53.15969259,3/4/2016
440,53.15969259,3/5/2016
441,53.15969259,3/6/2016
442,53.70564815,3/7/2016
443,53.05102037,3/8/2016
444,52.71336296,3/9/2016
445,52.45341481,3/10/2016
446,54.43178704,3/11/2016
447,54.43178704,3/12/2016
448,54.43178704,3/13/2016
449,54.33460556,3/14/2016
450,53.77155741,3/15/2016
451,55.09094815,3/16/2016
452,56.24981111,3/17/2016
453,56.42391111,3/18/2016
454,56.42391111,3/19/2016
455,56.42391111,3/20/2016
456,56.11031667,3/21/2016
457,56.02695741,3/22/2016
458,55.01406481,3/23/2016
459,53.92241667,3/24/2016
460,53.92241667,3/25/2016
461,53.92241667,3/26/2016
462,53.92241667,3/27/2016
463,54.41051667,3/28/2016
464,54.02531667,3/29/2016
465,55.14065556,3/30/2016
466,54.89847407,3/31/2016
467,54.09166852,4/1/2016
468,54.09166852,4/2/2016
469,54.09166852,4/3/2016
470,54.23229815,4/4/2016
471,53.50489074,4/5/2016
472,54.26759259,4/6/2016
473,54.53381852,4/7/2016
474,55.9210963,4/8/2016
475,55.9210963,4/9/2016
476,55.9210963,4/10/2016
477,56.06985926,4/11/2016
478,56.73546296,4/12/2016
479,57.31443889,4/13/2016
480,57.62189259,4/14/2016
481,56.96992222,4/15/2016
482,56.96992222,4/16/2016
483,56.96992222,4/17/2016
484,56.4588037,4/18/2016
485,58.68735185,4/19/2016
486,59.19977222,4/20/2016
487,59.50676667,4/21/2016
488,59.95325556,4/22/2016
489,59.95325556,4/23/2016
490,59.95325556,4/24/2016
491,59.60712037,4/25/2016
492,60.46248333,4/26/2016
493,61.98091481,4/27/2016
494,61.75898148,4/28/2016
495,60.87824074,4/29/2016
496,60.87824074,4/30/2016
,,
498,60.87824074,5/1/2016
499,60.41734259,5/2/2016
500,59.16802963,5/3/2016
501,58.64581667,5/4/2016
502,59.17667407,5/5/2016
503,59.02306481,5/6/2016
504,59.02306481,5/7/2016
505,59.02306481,5/8/2016
506,57.82520741,5/9/2016
507,58.58541296,5/10/2016
508,59.1421537,5/11/2016
509,59.80351852,5/12/2016
510,59.23657407,5/13/2016
511,59.23657407,5/14/2016
512,59.23657407,5/15/2016
513,59.88849074,5/16/2016
514,60.07685556,5/17/2016
515,59.79429259,5/18/2016
516,58.70625926,5/19/2016
517,59.48809259,5/20/2016
518,59.48809259,5/21/2016
519,59.48809259,5/22/2016
520,59.49864074,5/23/2016
521,59.91533333,5/24/2016
522,60.67287037,5/25/2016
523,61.05819444,5/26/2016
524,60.39620926,5/27/2016
525,60.39620926,5/28/2016
526,60.39620926,5/29/2016
527,60.39620926,5/30/2016
528,60.81740741,5/31/2016
529,60.04523519,6/1/2016
530,59.98245185,6/2/2016
531,60.1479037,6/3/2016
532,60.1479037,6/4/2016
533,60.1479037,6/5/2016
534,60.91219259,6/6/2016
535,62.4162963,6/7/2016
536,63.37535185,6/8/2016
537,62.54595926,6/9/2016
538,61.39168148,6/10/2016
539,61.39168148,6/11/2016
540,61.39168148,6/12/2016
541,60.71974815,6/13/2016
542,60.4093463,6/14/2016
543,60.6284037,6/15/2016
544,59.33696296,6/16/2016
545,60.40157222,6/17/2016
546,60.40157222,6/18/2016
547,60.40157222,6/19/2016
548,61.42250926,6/20/2016
549,61.44625926,6/21/2016
550,62.04389815,6/22/2016
551,62.62773333,6/23/2016
552,60.74453704,6/24/2016
553,60.74453704,6/25/2016
554,60.74453704,6/26/2016
555,58.77050556,6/27/2016
556,59.48742778,6/28/2016
557,60.90028148,6/29/2016
558,61.00719259,6/30/2016
,,
560,61.76660185,7/1/2016
561,61.76660185,7/2/2016
562,61.76660185,7/3/2016
563,61.76660185,7/4/2016
564,60.41162963,7/5/2016
565,60.12753704,7/6/2016
566,60.63438889,7/7/2016
567,60.64368148,7/8/2016
568,60.64368148,7/9/2016
569,60.64368148,7/10/2016
570,61.16977778,7/11/2016
571,62.35808333,7/12/2016
572,61.93287963,7/13/2016
573,62.22298519,7/14/2016
574,62.19143148,7/15/2016
575,62.19143148,7/16/2016
576,62.19143148,7/17/2016
577,61.77304444,7/18/2016
578,61.61439074,7/19/2016
579,61.17561667,7/20/2016
580,61.30410926,7/21/2016
581,60.74424074,7/22/2016
582,60.74424074,7/23/2016
583,60.74424074,7/24/2016
584,59.77907407,7/25/2016
585,59.55495741,7/26/2016
586,59.89785556,7/27/2016
587,59.61567037,7/28/2016
588,59.87974444,7/29/2016
589,59.87974444,7/30/2016
590,59.87974444,7/31/2016
591,59.43064815,8/1/2016
592,58.96942407,8/2/2016
593,59.94574444,8/3/2016
594,60.88157593,8/4/2016
595,61.20546296,8/5/2016
596,61.20546296,8/6/2016
597,61.20546296,8/7/2016
598,62.6052463,8/8/2016
599,62.27677963,8/9/2016
600,61.98698889,8/10/2016
601,62.31419815,8/11/2016
602,62.80988889,8/12/2016
603,62.80988889,8/13/2016
604,62.80988889,8/14/2016
605,63.39801852,8/15/2016
606,63.39801852,8/16/2016
607,63.39801852,8/17/2016
608,63.39801852,8/18/2016
609,63.39801852,8/19/2016
610,63.39801852,8/20/2016
611,63.39801852,8/21/2016
612,63.39801852,8/22/2016
613,63.39801852,8/23/2016
614,63.39801852,8/24/2016
